Frame,Cell,Intensity_nucleus,Intensity_cytoplasm,Ratio_nucleus_div_cytoplasm,Key,Sample
0,1,305.507786429366,169.16086956521738,1.8060192479182198,ERK,ERK_example
0,2,479.5719654265314,164.96219621962197,2.9071628313438223,ERK,ERK_example
0,3,482.0016064257028,157.2922636103152,3.0643694442584986,ERK,ERK_example
0,4,317.00199302441456,148.8154506437768,2.130168552076155,ERK,ERK_example
0,all,408.8712594908441,160.17007481296758,2.5527319005643703,ERK,ERK_example
1,1,301.84122401847577,176.04293193717277,1.7145887125204131,ERK,ERK_example
1,2,462.1292747087561,163.10521582733813,2.8333200282078193,ERK,ERK_example
1,3,470.7539140907266,153.36415633937082,3.0695171891991633,ERK,ERK_example
1,4,304.8112370625924,141.4708423326134,2.154586995007409,ERK,ERK_example
1,all,397.5793784359924,158.67763483424048,2.5055791816617132,ERK,ERK_example
2,1,296.7538994800693,170.797481636936,1.7374606266787864,ERK,ERK_example
2,2,443.6972993248312,163.85085354896677,2.707934012636879,ERK,ERK_example
2,3,456.59991990388465,154.35570469798657,2.9581020072907003,ERK,ERK_example
2,4,295.12241887905606,138.68540540540542,2.1279991071616635,ERK,ERK_example
2,all,384.96718189964156,157.26648487853248,2.4478653681169114,ERK,ERK_example
3,1,294.72998246639395,176.2223404255319,1.6724893209039011,ERK,ERK_example
3,2,428.2134032197679,164.2392086330935,2.6072544234938837,ERK,ERK_example
3,3,448.67494989979957,154.91483253588515,2.8962685015708005,ERK,ERK_example
3,4,286.84123910939013,133.20238095238096,2.153424263579298,ERK,ERK_example
3,all,375.7239181482724,157.48520268589903,2.3857728328778034,ERK,ERK_example
4,1,290.9607390300231,167.87909836065575,1.7331564314513428,ERK,ERK_example
4,2,410.980848666917,165.39675383228135,2.4848181064282997,ERK,ERK_example
4,3,440.03021756647865,154.14754098360655,2.8546041977619057,ERK,ERK_example
4,4,280.523,138.14826839826839,2.0305936748427333,ERK,ERK_example
4,all,366.2934549960572,156.889520514088,2.3347222542066834,ERK,ERK_example
5,1,288.4363896848138,166.55769230769232,1.7317506366020454,ERK,ERK_example
5,2,394.08589647411856,167.6889692585895,2.35010029709472,ERK,ERK_example
5,3,428.82141422257934,153.7172248803828,2.789677048595385,ERK,ERK_example
5,4,271.03414634146344,131.60010764262648,2.059528302799602,ERK,ERK_example
5,all,354.9621229050279,155.441484063745,2.2835739445170344,ERK,ERK_example
6,1,284.55751708428244,163.15592515592516,1.744083255403296,ERK,ERK_example
6,2,379.23533834586465,167.51845184518453,2.2638421867481346,ERK,ERK_example
6,3,421.2830112721417,154.48123195380174,2.7270821571265573,ERK,ERK_example
6,4,261.7880434782609,132.36393442622952,1.9777898308406916,ERK,ERK_example
6,all,345.67178395338414,155.12490687856965,2.2283448281066356,ERK,ERK_example
7,1,281.1912189485846,162.89002036659878,1.726264250662737,ERK,ERK_example
7,2,364.07472775065713,168.4463480613165,2.161369076509332,ERK,ERK_example
7,3,407.7853130016051,153.12655800575263,2.663060662450765,ERK,ERK_example
7,4,252.29377145659637,128.50161117078412,1.9633510362861304,ERK,ERK_example
7,all,334.6667787114846,154.0248462484625,2.172810341077197,ERK,ERK_example
8,1,278.98398169336383,160.74817898022891,1.73553432121727,ERK,ERK_example
8,2,348.91757212439114,169.74144144144145,2.0555827095692663,ERK,ERK_example
8,3,399.79307568438,155.44827586206895,2.571872048546367,ERK,ERK_example
8,4,245.3121301775148,126.34408602150538,1.9416194133199045,ERK,ERK_example
8,all,325.8488072572517,153.938195302843,2.1167508597603635,ERK,ERK_example
9,1,275.2457971014493,159.41145833333334,1.7266374699734786,ERK,ERK_example
9,2,335.1441947565543,169.9865107913669,1.9715928822604865,ERK,ERK_example
9,3,387.24074074074076,153.83652007648183,2.5172224420327436,ERK,ERK_example
9,4,236.39537173806008,123.77287405812702,1.909912600292715,ERK,ERK_example
9,all,315.562177328844,152.69532987398074,2.066613154372678,ERK,ERK_example
10,1,273.12660443407236,159.9791013584117,1.7072642746140252,ERK,ERK_example
10,2,323.8336462636125,171.35283528352835,1.889864534355573,ERK,ERK_example
10,3,381.64452495974234,153.12547892720306,2.492364612561825,ERK,ERK_example
10,4,229.33017456359102,125.33297297297297,1.8297672920680195,ERK,ERK_example
10,all,308.85630498533726,153.3983155808769,2.0134269650601055,ERK,ERK_example
11,1,267.898401826484,154.14337851929093,1.737981899708762,ERK,ERK_example
11,2,310.4895405304445,167.34158415841586,1.855423695741496,ERK,ERK_example
11,3,371.6675392670157,151.9601344860711,2.4458226529214038,ERK,ERK_example
11,4,220.35478217325988,123.2881081081081,1.7873157886406736,ERK,ERK_example
11,all,298.9603210236839,150.14172447968286,1.9911874734337365,ERK,ERK_example
12,1,268.03021499128414,157.32638164754954,1.703657150087764,ERK,ERK_example
12,2,303.3995510662177,169.35985533453888,1.7914490447981806,ERK,ERK_example
12,3,369.42995169082127,150.5316091954023,2.454168620567067,ERK,ERK_example
12,4,215.6083984375,118.33369565217392,1.8220372248936776,ERK,ERK_example
12,all,294.8125700201658,149.96525192355423,1.9658725353953892,ERK,ERK_example
13,1,263.43628013777266,153.15328467153284,1.7200824696823398,ERK,ERK_example
13,2,294.86871717929483,169.4095409540954,1.7405673583590837,ERK,ERK_example
13,3,364.18823055219667,151.6971153846154,2.4007591022995247,ERK,ERK_example
13,4,208.13067061143985,118.78114842903575,1.7522197197460572,ERK,ERK_example
13,all,288.28821352472806,149.38953632531613,1.929775140990739,ERK,ERK_example
14,1,259.8764805414552,147.2920634920635,1.7643617339603503,ERK,ERK_example
14,2,289.17096894874675,168.2954954954955,1.7182335635149935,ERK,ERK_example
14,3,359.80587998389046,150.08829174664106,2.3972947909305713,ERK,ERK_example
14,4,201.3389080177078,117.01741022850925,1.7205893347369186,ERK,ERK_example
14,all,283.0210890426244,146.8949203187251,1.92669078296608,ERK,ERK_example
15,1,259.1601830663616,146.63034623217922,1.7674389355665776,ERK,ERK_example
15,2,283.41180895073336,166.57039711191337,1.7014536428121616,ERK,ERK_example
15,3,358.38461538461536,146.9942363112392,2.4380861752006884,ERK,ERK_example
15,4,194.11642821904292,114.86240520043337,1.6899909755529874,ERK,ERK_example
15,all,279.23595379611976,144.94079921065614,1.9265517736678117,ERK,ERK_example
16,1,256.6399317406143,145.51263157894738,1.7636952129573384,ERK,ERK_example
16,2,277.7203453453453,165.74324324324326,1.6756058341260132,ERK,ERK_example
16,3,356.41485068603714,148.85135135135135,2.3944347662974805,ERK,ERK_example
16,4,189.27662721893492,114.020697167756,1.6600199079686087,ERK,ERK_example
16,all,275.32134856630825,144.76656701544593,1.9018296436975861,ERK,ERK_example
17,1,253.36903376018626,148.81584362139918,1.702567600293822,ERK,ERK_example
17,2,274.3505077096653,167.37387387387386,1.6391477436699868,ERK,ERK_example
17,3,353.95641646489105,146.91458733205374,2.4092666554947675,ERK,ERK_example
17,4,184.88058968058968,111.2318376068376,1.6621193505232963,ERK,ERK_example
17,all,272.00472440944884,144.73694581280787,1.8793040220790602,ERK,ERK_example
18,1,248.76797194623026,148.67407407407407,1.6732437951642214,ERK,ERK_example
18,2,266.32020997375326,161.34950584007188,1.6505796444008163,ERK,ERK_example
18,3,345.8514492753623,144.48991354466858,2.3936027144790524,ERK,ERK_example
18,4,178.8474409448819,109.69206008583691,1.6304501967136826,ERK,ERK_example
18,all,265.17101416685404,142.08037707764822,1.8663450901593235,ERK,ERK_example
19,1,259.64248403946607,156.8369905956113,1.6554926427332988,ERK,ERK_example
19,2,275.4844277673546,174.83243243243243,1.5757055137571296,ERK,ERK_example
19,3,358.69401778496365,156.5067437379576,2.2918757953684876,ERK,ERK_example
19,4,189.6185515873016,121.44756756756757,1.5613202914237616,ERK,ERK_example
19,all,276.09934669970716,153.58560794044666,1.7976902289358103,ERK,ERK_example
20,1,245.48619102416572,142.47589098532495,1.7230016203194045,ERK,ERK_example
20,2,257.77000747943157,161.15412186379928,1.599524756166572,ERK,ERK_example
20,3,342.48729326341265,143.09817131857557,2.3933729558356305,ERK,ERK_example
20,4,172.95445641527914,106.31209503239741,1.626855875265869,ERK,ERK_example
20,all,259.50195902832195,139.50285006195787,1.8601910922469933,ERK,ERK_example
21,1,242.23451834862385,139.2319749216301,1.7397908668965667,ERK,ERK_example
21,2,254.19196093163035,160.84281842818427,1.580374948758599,ERK,ERK_example
21,3,339.8117886178862,143.78901734104045,2.3632666451285127,ERK,ERK_example
21,4,171.2683407188577,107.27564102564102,1.5965259128856768,ERK,ERK_example
21,all,256.5919973024615,138.92050520059436,1.847041924674513,ERK,ERK_example
22,1,241.30432172869146,145.8759278897137,1.6541750597200953,ERK,ERK_example
22,2,249.74604966139955,160.87646528403968,1.5524088574450827,ERK,ERK_example
22,3,337.0222581950627,141.80966183574878,2.3765817775196387,ERK,ERK_example
22,4,167.24349533627884,104.66523143164693,1.597889700798106,ERK,ERK_example
22,all,253.54336503623188,139.43725099601593,1.8183330725838551,ERK,ERK_example
23,1,248.62285883047844,153.12694300518135,1.6236388838642577,ERK,ERK_example
23,2,254.28768417075935,169.84538878842676,1.4971715510482346,ERK,ERK_example
23,3,341.9904510361642,149.84559535333977,2.2822856436303107,ERK,ERK_example
23,4,177.99950248756218,116.89583333333333,1.5227189662097638,ERK,ERK_example
23,all,260.292305073204,148.6593625498008,1.7509311260904017,ERK,ERK_example
24,1,233.72572101236022,139.63469387755103,1.6738370280477706,ERK,ERK_example
24,2,238.09717514124293,159.87297297297297,1.489289719917162,ERK,ERK_example
24,3,328.7629449838188,139.35521235521236,2.3591722148563172,ERK,ERK_example
24,4,163.29245283018867,102.29304812834225,1.5963201392269917,ERK,ERK_example
24,all,245.56798642533937,136.49766067471066,1.7990636997842449,ERK,ERK_example
25,1,243.05347901092583,147.4151547491996,1.6487686047234267,ERK,ERK_example
25,2,244.89278973197432,169.61081081081082,1.443851300287311,ERK,ERK_example
25,3,337.2699836867863,150.63697967086156,2.2389587498615127,ERK,ERK_example
25,4,172.437069813176,113.00213675213675,1.5259629133509762,ERK,ERK_example
25,all,253.44985350462025,146.35806772908367,1.7317108474933476,ERK,ERK_example
26,1,241.00117924528303,150.89907312049434,1.5971017863896442,ERK,ERK_example
26,2,240.3918918918919,169.001800180018,1.4224220785567392,ERK,ERK_example
26,3,334.5040883074407,150.056038647343,2.229194448439238,ERK,ERK_example
26,4,170.51669941060905,112.32397408207343,1.51807929521809,ERK,ERK_example
26,all,250.4536304003619,146.82265644323522,1.7058241314220646,ERK,ERK_example
27,1,229.4962275101567,134.86301369863014,1.7016987921017206,ERK,ERK_example
27,2,225.31052631578947,157.19567177637512,1.4333125318890065,ERK,ERK_example
27,3,320.20040899795504,140.60852713178295,2.2772474438755244,ERK,ERK_example
27,4,156.98577734183422,101.63616792249731,1.5445857567312433,ERK,ERK_example
27,all,236.57742190143227,134.82035332172183,1.754760435443212,ERK,ERK_example
28,1,228.19688809096348,138.58523344191096,1.6466176260157899,ERK,ERK_example
28,2,219.14674735249622,157.34265103697024,1.3927993834361168,ERK,ERK_example
28,3,314.75419909873006,138.78143133462282,2.2679849607532185,ERK,ERK_example
28,4,154.7972972972973,100.86616702355461,1.5346800802012086,ERK,ERK_example
28,all,232.84681288553804,135.0272636318159,1.7244429504285186,ERK,ERK_example
29,1,225.3005366726297,134.734375,1.6721830392030965,ERK,ERK_example
29,2,215.12997347480106,157.3336339044184,1.3673489141266162,ERK,ERK_example
29,3,312.2577065351418,140.90873786407766,2.2160279856906353,ERK,ERK_example
29,4,153.10309801929913,101.76231263383298,1.504516692443926,ERK,ERK_example
29,all,230.18352833218628,134.88966030250435,1.7064579139422202,ERK,ERK_example
30,1,223.99327628361857,140.4620253164557,1.5946892106885835,ERK,ERK_example
30,2,210.64447806354008,155.14647377938516,1.3577136040041222,ERK,ERK_example
30,3,308.2446369636964,139.8920233463035,2.2034468412872625,ERK,ERK_example
30,4,150.01772525849336,99.02804746494067,1.5149013749019415,ERK,ERK_example
30,all,226.13257012020605,134.78623098029433,1.6777126897573573,ERK,ERK_example
31,1,222.65615704937537,135.3113708820404,1.6455095798525243,ERK,ERK_example
31,2,204.42019667170953,157.04249547920435,1.3016871391907991,ERK,ERK_example
31,3,301.3538144329897,139.81268292682927,2.1554111409957186,ERK,ERK_example
31,4,147.86315255955398,98.18250539956803,1.5060030497062924,ERK,ERK_example
31,all,222.08976269632007,133.87743871935967,1.6589035824167155,ERK,ERK_example
32,1,219.67582089552238,134.73566878980893,1.6304206812393698,ERK,ERK_example
32,2,199.7185128983308,154.481884057971,1.2928280498144642,ERK,ERK_example
32,3,296.0148760330579,138.2409756097561,2.14129620199358,ERK,ERK_example
32,4,144.26386806596702,96.24298056155507,1.4989547001165322,ERK,ERK_example
32,all,217.52668346312413,132.17087815861896,1.6457988816724758,ERK,ERK_example
33,1,216.4320536258379,134.94117647058823,1.6038992640101328,ERK,ERK_example
33,2,193.78967350037965,153.04343891402715,1.2662396694394844,ERK,ERK_example
33,3,291.484219269103,138.61094819159337,2.1028946347456072,ERK,ERK_example
33,4,140.45772151898734,96.57708779443254,1.4543586343994566,ERK,ERK_example
33,all,213.08674058674058,131.9329845540608,1.615113470728969,ERK,ERK_example
34,1,225.4251968503937,142.5460251046025,1.5814204337509457,ERK,ERK_example
34,2,199.89277566539923,162.75384615384615,1.228190794805837,ERK,ERK_example
34,3,295.29164935604484,149.9260700389105,1.9695817363811874,ERK,ERK_example
34,4,148.36483072258716,105.54897739504844,1.4056491534473863,ERK,ERK_example
34,all,219.48494288681204,141.43753111000498,1.5518154280853829,ERK,ERK_example
35,1,217.65181932245923,139.62776025236593,1.5588004772766613,ERK,ERK_example
35,2,190.3881679389313,156.89019963702358,1.2135121784496903,ERK,ERK_example
35,3,285.64458333333334,143.140625,1.9955521595167922,ERK,ERK_example
35,4,138.1520970186963,97.34426229508196,1.41921150524427,ERK,ERK_example
35,all,210.02024903991622,135.60245490981964,1.5487938561258865,ERK,ERK_example
36,1,211.39756838905774,132.86788399570355,1.5910358623299332,ERK,ERK_example
36,2,182.06290507052992,155.5234657039711,1.170645884506425,ERK,ERK_example
36,3,276.11503322259136,139.9666339548577,1.972720393573546,ERK,ERK_example
36,4,133.87539103232533,95.86413043478261,1.3965118175603979,ERK,ERK_example
36,all,203.27647195717944,132.438662644545,1.5348725809981756,ERK,ERK_example
37,1,212.16129032258064,136.98111227701995,1.5488360898510019,ERK,ERK_example
37,2,178.0072629969419,152.9690909090909,1.1636812505000185,ERK,ERK_example
37,3,269.85393258426967,138.68426197458456,1.945815110828678,ERK,ERK_example
37,4,131.1949717804002,93.38436482084691,1.4048922646964617,ERK,ERK_example
37,all,199.46800795414669,131.7713284963723,1.51374362109158,ERK,ERK_example
38,1,211.13888888888889,130.81354051054385,1.614044601689155,ERK,ERK_example
38,2,176.89356814701378,154.7753623188406,1.142905211118868,ERK,ERK_example
38,3,268.3397409109904,141.21722113502935,1.90019134177983,ERK,ERK_example
38,4,130.20938628158845,94.68729641693811,1.3751515906445924,ERK,ERK_example
38,all,198.40755813953487,131.77963525835867,1.5056010570263743,ERK,ERK_example
39,1,218.52859836580768,142.9069264069264,1.5291672969268764,ERK,ERK_example
39,2,180.78917050691246,160.1467639015497,1.1288968075436898,ERK,ERK_example
39,3,269.84926931106475,147.61960784313726,1.8280042418064848,ERK,ERK_example
39,4,134.54564315352698,100.44004282655246,1.3395617859887883,ERK,ERK_example
