Frame,Cell,Intensity_nucleus,Intensity_cytoplasm,Ratio_cytoplasm_div_nucleus,Key,Sample
0,1,720.4860956618465,409.37391304347824,0.5681912746247002,PKA,ERK_example
0,2,1135.7410747839158,274.56885688568855,0.24175303947506482,PKA,ERK_example
0,3,1095.5746987951807,253.83094555873924,0.23168748405551973,PKA,ERK_example
0,4,908.903836571998,371.21030042918454,0.40841537409417616,PKA,ERK_example
0,all,990.3742742295668,322.543391521197,0.3256782813468276,PKA,ERK_example
1,1,727.5,440.0795811518325,0.604920386463,PKA,ERK_example
1,2,1139.128898910184,275.5836330935252,0.24192488958640132,PKA,ERK_example
1,3,1096.6045764753112,253.71877979027644,0.2313676098323201,PKA,ERK_example
1,4,908.8994578610153,364.01403887688986,0.4004997865589586,PKA,ERK_example
1,all,994.8447211937619,329.0333993072736,0.3307384482197892,PKA,ERK_example
2,1,736.4621606008088,428.21196222455404,0.5814446215067139,PKA,ERK_example
2,2,1142.4688672168043,277.0080862533693,0.24246445063154792,PKA,ERK_example
2,3,1099.9967961553864,252.89645254074784,0.22990653556869406,PKA,ERK_example
2,4,909.7708947885939,365.0854054054054,0.40129378450850683,PKA,ERK_example
2,all,998.8579749103943,326.6908775409023,0.32706439328394926,PKA,ERK_example
3,1,737.0648743424898,446.23617021276596,0.6054231937328961,PKA,ERK_example
3,2,1139.7379258704605,277.3345323741007,0.24333184504875538,PKA,ERK_example
3,3,1098.3739478957916,251.84593301435407,0.2292897910559765,PKA,ERK_example
3,4,902.9404646660213,345.69372294372295,0.38285328487475395,PKA,ERK_example
3,all,996.4526445264453,325.9035065904004,0.32706371786015276,PKA,ERK_example
4,1,741.6651270207852,432.20081967213116,0.5827438879434043,PKA,ERK_example
4,2,1148.8610589560647,280.546438232642,0.24419527152183754,PKA,ERK_example
4,3,1106.0946817082997,259.46962391513983,0.23458174802396112,PKA,ERK_example
4,4,920.358,389.3387445887446,0.4230296738755404,PKA,ERK_example
4,all,1005.9731891404754,336.5726643598616,0.3345741894447867,PKA,ERK_example
5,1,739.0716332378223,441.5790598290598,0.597478025092821,PKA,ERK_example
5,2,1146.8312078019505,279.4104882459313,0.24363697669289747,PKA,ERK_example
5,3,1105.9276817999196,254.76555023923444,0.2303636615954837,PKA,ERK_example
5,4,913.7268292682927,359.7481162540366,0.39371517255558847,PKA,ERK_example
5,all,1002.56156424581,329.37798804780874,0.32853642089858853,PKA,ERK_example
6,1,740.4863325740318,428.8367983367983,0.5791285800591388,PKA,ERK_example
6,2,1149.2593984962407,281.7875787578758,0.24519058023504825,PKA,ERK_example
6,3,1109.2459742351048,259.42925890279116,0.23387892760366702,PKA,ERK_example
6,4,916.8997035573123,378.90273224043716,0.4132433795871036,PKA,ERK_example
6,all,1004.9861048857015,333.213310156444,0.3315601166389667,PKA,ERK_example
7,1,745.4465626805314,438.61099796334014,0.5883869078236146,PKA,ERK_example
7,2,1153.1010138941044,282.99458972046887,0.24542046734030346,PKA,ERK_example
7,3,1109.8964686998395,256.6960690316395,0.23127929160126054,PKA,ERK_example
